Feature,Chi2_Score,P_Value
mountains,6.4590570064327135,0.996586858839779
authorized,6.458426132332776,0.9965890837067267
recognition,6.4576642073423685,0.9965917692165016
having,6.457199404932614,0.9965934066567231
romeo,6.456589035534458,0.9965955559676075
consumables,6.455173675892596,0.9966005357932082
soup,6.454085614237229,0.996604360136119
settling,6.453696583378364,0.9966057266854923
reposted,6.4535724664649985,0.9966061625797993
loc,6.453433939128313,0.9966066490308139
arg,6.4526036417263715,0.9966095635398133
hasn,6.452470471298731,0.9966100308104895
josh,6.452156719365401,0.9966111315075933
angling,6.451981128880256,0.9966117473867931
curiousity,6.451747427876762,0.9966125669500608
worded,6.450910556268294,0.9966155004811919
absorbed,6.450083491313334,0.9966183976650428
javy,6.448868562733734,0.9966226499714831
jaromir,6.448566613314218,0.9966237061529704
figaro,6.4481271479065,0.9966252428821314
established,6.448099513101848,0.9966253394974622
dogma,6.448063233043445,0.9966254663345518
flaming,6.447770634676409,0.9966264891369907
xtvacreatemanagedwidget,6.447443121232814,0.9966276336976163
jesse,6.446776506420658,0.9966299623677288
courses,6.446538696599384,0.9966307927958581
bursts,6.446215321229916,0.9966319217582014
fuji,6.445640234529795,0.9966339287524746
threatening,6.445293483570989,0.9966351384215926
samples,6.444044368982138,0.9966394932140036
sic,6.44400889741525,0.9966396168136092
presenting,6.443371550291676,0.9966418370186118
hs,6.441331215817144,0.9966489367527844
inside,6.440471236397708,0.9966519256611857
phil,6.440291258556895,0.9966525509180398
rerun,6.440086113976847,0.9966532634935811
famous,6.439824638382327,0.9966541715627922
modulus,6.439482862558118,0.9966553582102877
1921,6.439110822521238,0.9966566495573136
stations,6.438306692364424,0.9966594393388231
277,6.436050381340677,0.9966672573754874
hazards,6.43569762957523,0.9966684783398464
sake,6.434993640947153,0.9966709139686174
dispersal,6.433965253970086,0.9966744694074456
starbase,6.433788273235664,0.996675080979621
victimless,6.433214352908542,0.9966770635994149
utter,6.432692576669883,0.9966788652755524
mandate,6.431808080561663,0.9966819176480509
sakic,6.431756391090903,0.9966820959584528
